人员编号,特征码
P0000,CjD8XlTz
P0001,CUwBGZhI
P0002,ChfVDqdQ
P0003,C7Pnvot1
P0004,CXnljmwx
P0005,COA1nzDJ
P0006,Cr5Y0yk2
P0007,CPOhlaMz
P0008,CjX2Kkm5
P0009,C1b6QpCZ
P0010,CO75yiNJ
P0011,CWdMpTNX
P0012,C7GTsSLv
P0013,CHRvI2xE
P0014,CzWd0g4t
P0015,CPBqp20T
P0016,CTBX4GZF
P0017,C5LqjdR8
P0018,C3ukdWrT
P0019,CShTdYMo
P0020,C4tHNnPZ
P0021,CVUKwvDa
P0022,CShEm0H8
P0023,CUMncy9g
P0024,CzRTjNQP
P0025,CE7IcSCk
P0026,CdZE3W9m
P0027,C7pkgcin
P0028,CPfhqeSU
P0029,CzcIBECv
P0030,CSDHmML2
P0031,CqAj0n18
P0032,Ce7Mrz2q
P0033,C1Tgmody
P0034,C9ra8Ytc
P0035,C7b0Jsoz
P0036,CaPfot84
P0037,CUOb2f0L
P0038,CwuR5CcU
P0039,CXl5fbSN
P0040,C2w9ZJjk
P0041,C5SaRV7T
P0042,CuGzly5U
P0043,CCmn6kM1
P0044,CKJ7reOD
P0045,COViBL25
P0046,CGhPti38
P0047,CLNodzZD
P0048,CBTw3fec
P0049,C6CAbKjE
P0050,CgSfsOR9
P0051,CJK1jiW9
P0052,CLjkwVKy
P0053,CT4UgP1F
P0054,C1uhR4YE
P0055,C61soVX4
P0056,C7woca9G
P0057,ChJfiEOd
P0058,CVEwG8nF
P0059,Cd5Q2GLq
P0060,CbMH70Xg
P0061,CSlcLToD
P0062,CSahox4u
P0063,ChOtg753
P0064,CSC7Nmuf
P0065,CkvMXPNj
P0066,C7mTBf5u
P0067,CMnurjQh
P0068,CC7W5bnH
P0069,CkEVM2Qc
P0070,C1ICwafF
P0071,CdByjm8l
P0072,Cnrq9sz4
P0073,CqvbUrp2
P0074,CHldQAfU
P0075,CwhkYNEx
P0076,CnXQHpzb
P0077,CD1vcqFM
P0078,CdYewcPq
P0079,CXLDKNU1
P0080,CsIzxuki
P0081,CVlvFXzN
P0082,CApWFVgH
P0083,CnlepfbN
P0084,CY1r8Eov
P0085,CAScMrEw
P0086,CSv5T9eG
P0087,Cs3NVkxt
P0088,CozBcarf
P0089,CIUWS3g0
P0090,CYrOBEI8
P0091,CVXOJR3c
P0092,CFRO6tlf
P0093,CfWFNP4O
P0094,CnHfvNTj
P0095,CzGc9vAl
P0096,CZKB1pYR
P0097,CVMRfCxa
P0098,CsBaC0TM
P0099,CsZmYCFO
P0100,CTH23iEj
P0101,Cn0Psyab
P0102,Cz4hXOYU
P0103,CKpj15W4
P0104,Cp1E8lAt
P0105,CsH2y65K
P0106,CTXREhJK
P0107,CXicGVdb
P0108,CGBy7obh
P0109,CeoQyrtH
P0110,CVk5NE6W
P0111,CJxQw6Ar
P0112,CeBo0yas
P0113,CIcOxW1T
P0114,CQREAqCi
P0115,CSFNWMws
P0116,CaezhHY7
P0117,C4nQkrdc
P0118,CTfHZ0S3
P0119,C9WCYwb0
P0120,C59ZwLRm
P0121,C0P2vVpK
P0122,CsHN09uP
P0123,Cu79qgkQ
P0124,Ct8CGOo4
P0125,CpvjzED7
P0126,CzwQlUOp
P0127,CN4oTs51
P0128,C6FtJOLr
P0129,CLvbYyN5
P0130,CJBE1sHA
P0131,CUVbTHz9
P0132,CjvMrwxB
P0133,ChLl3ViT
P0134,ChfDjmkd
P0135,CJTW9ED8
P0136,COLtezgv
P0137,CFPCDWLs
P0138,CJUK4c7X
P0139,CU6jebVD
P0140,CKfVub9c
P0141,CRI7JVgH
P0142,CX7gf5wY
P0143,CBUJ2gsa
P0144,CNvbDW4l
P0145,CUdTWA8V
P0146,CP9VIOJv
P0147,CWqV7Ffd
P0148,C43UDENQ
P0149,C1qToycJ
P0150,CzWKagrl
P0151,CSy0alZA
P0152,Ck56QKnt
P0153,CoejOGdJ
P0154,CvYg1LT5
P0155,CsNPV4mg
P0156,C45SzLvX
P0157,Cd5wzc4R
P0158,CGMRUY3S
P0159,CuoVv7tJ
P0160,CkeZ3JPD
P0161,C62yhacv
P0162,CQUTHrJX
P0163,C30WPHU6
P0164,CGJkZ6Dd
P0165,CRkgKbxJ
P0166,C4btHFSm
P0167,CO1dxoT2
P0168,CVnCghDO
P0169,CcF0kYBD
P0170,CCSBFLWR
P0171,CqRFe9xy
P0172,Cm6gI3ne
P0173,CR3Hbv2m
P0174,CdMz42FO
P0175,CH0cqWwL
P0176,C4xf7cuQ
P0177,ClE67aKF
P0178,CrgQRCbO
P0179,CymIeOs1
P0180,C8jMgV17
P0181,CTC02765
P0182,CN6ZpaJO
P0183,CSgL5u0Z
P0184,CMaBlR5s
P0185,CWSpLcry
P0186,CuZblsw5
P0187,C0SK5qFz
P0188,CPxiGfpU
P0189,Cu74BFP3
P0190,C6galOjI
P0191,Cl3ecpgN
P0192,C5TRzHEV
P0193,CMJsRUFi
P0194,CPyzHgOb
P0195,CntA1kex
P0196,CyZmpVvk
P0197,CM6m145u
P0198,COtkuADh
P0199,CCFz2Akm
P0200,CEe43w1n
P0201,CVAF7PiL
P0202,CdI768W5
P0203,CqHNTaQl
P0204,CVG8MYHQ
P0205,CJ1RXfia
P0206,CCZQTs9L
P0207,CC4uorLt
P0208,CqjVM0LT
P0209,CTHfp9gy
P0210,CMUjhiJD
P0211,ClZOshr6
P0212,Cdl7ZIHS
P0213,Ce52MVTJ
P0214,CQoJVAHW
P0215,CwfIrpJz
P0216,CD8GOKFg
P0217,CakZ9qQp
P0218,CPpbwmOu
P0219,ChYdVrlO
P0220,CDELpYtl
P0221,CgneXmS8
P0222,Ctkp5C8c
P0223,C3NfYgnE
P0224,C4A29dsW
P0225,CJXmMgod
P0226,CEc8MC90
P0227,C1MT0nEd
P0228,CikJm6Xt
P0229,CjfgHuXC
P0230,CzWVTu8J
P0231,CoHN9AQY
P0232,CyfUG4RB
P0233,CuodwHUk
P0234,CnG95c6g
P0235,CBZrQS4n
P0236,C75leVGr
P0237,CrRmdsXP
P0238,CnhP0DaQ
P0239,CNzEbHt2
P0240,CqvScAXB
P0241,CiDvsTrJ
P0242,CxcOsQty
P0243,CP1G2Dal
P0244,CCxDtj9K
P0245,ChjXysiq
P0246,CwKfi8cM
P0247,Ci8StVhB
P0248,CzmVBpc8
P0249,Cq7PhguL
P0250,CEX2G5sf
P0251,CKNgqrVS
P0252,CItfre2p
P0253,CbcdQvoz
P0254,CrR4OnNL
P0255,CRMGd6WX
P0256,CH1mtSKJ
P0257,C9EVLsYj
P0258,CXUBFSuq
P0259,C03tcWXP
P0260,CY6pgFhw
P0261,Cs7fdxOo
P0262,CF1UlK6B
P0263,Cq4BSbd8
P0264,CryMcoSK
P0265,CdX5WyRx
P0266,CkKhpd2P
P0267,CWGTrLMU
P0268,CNUe8Xfo
P0269,CErzFYdo
P0270,CUuprR87
P0271,C4X1wJCd
P0272,CFOBCYxW
P0273,C3wvRNVl
P0274,CSDZ6KUR
P0275,Cm2PtEZu
P0276,CqSYcRU7
P0277,C7jt48wU
P0278,Cc9fZQWC
P0279,CAWyjGhV
P0280,CjGQNKck
P0281,CITnB9Ck
P0282,CCkeYRG5
P0283,C63rtswc
P0284,Cv5m9Mqa
P0285,C5NmsAVj
P0286,Cr13n0cA
P0287,CZocs3ak
P0288,CDIMTOJH
P0289,CNW0dguB
P0290,Cl75sn2J
P0291,CTUNIbV0
P0292,CX5d4hoV
P0293,CndhisfB
P0294,CuBgk1Jl
P0295,COirmxQa
P0296,C8eFSWVO
P0297,Cw5vtzXN
P0298,CqgBy9c8
P0299,C9takJgI
P0300,Cj37tTMF
P0301,CV52mORt
P0302,CD7yegMr
P0303,CN8dlAU5
P0304,CaPplxO2
P0305,CYoC7i8v
P0306,Cxh023B7
P0307,CDZTPO6G
P0308,CMzb91cj
P0309,CUerxtT8
P0310,CgiCOcEU
P0311,CYM0Rito
P0312,CeVsKUHS
P0313,CWQ35c7R
P0314,CP3ioHrG
P0315,C6BAIw3a
P0316,C4FY9fN6
P0317,Cw6VgNaq
P0318,CSmP57Og
P0319,CnQp5B3W
P0320,CIwV4yhY
P0321,CGDzgRAY
P0322,CWFnMx2v
P0323,CtYKua7m
P0324,CrStmU13
P0325,CzmUR7gH
P0326,Cnzmc7V2
P0327,CsGIeil8
P0328,Cgs7Ux5m
P0329,CgJEVp9a
P0330,CPDZNtW3
P0331,CUIc2zHv
P0332,Ce21PkpV
P0333,CKQ0BREO
P0334,CQKwp4hB
P0335,CQz2T8xC
P0336,C2cH0zgS
P0337,CuP5mIRv
P0338,CIU2EKPS
P0339,Ccvra3s8
P0340,CbIeTcwp
P0341,CPLjhoB1
P0342,CYJMxbUB
P0343,C5q6CAjV
P0344,C1TugmR2
