点位编号,经度,纬度,发现时间,人员编号
D00,118.3765,31.2352,2020-11-02 08:10:42.879587,P0099
D00,118.3765,31.2352,2020-11-02 08:12:01.331801,P0000
D00,118.3765,31.2352,2020-11-02 08:12:21.188113,P0031
D00,118.3765,31.2352,2020-11-02 08:12:26.102236,P0038
D00,118.3765,31.2352,2020-11-02 08:12:31.441674,P0070
D00,118.3765,31.2352,2020-11-02 08:12:38.516057,P0064
D00,118.3765,31.2352,2020-11-02 08:12:44.436788,P0045
D00,118.3765,31.2352,2020-11-02 08:12:54.035652,P0069
D00,118.3765,31.2352,2020-11-02 08:12:54.309503,P0037
D00,118.3765,31.2352,2020-11-02 08:12:54.584076,P0082
D00,118.3765,31.2352,2020-11-02 08:13:00.760083,P0048
D00,118.3765,31.2352,2020-11-02 08:13:00.810053,P0039
D00,118.3765,31.2352,2020-11-02 08:13:03.075519,P0077
D00,118.3765,31.2352,2020-11-02 08:13:05.429312,P0050
D00,118.3765,31.2352,2020-11-02 08:13:23.151526,P0019
D00,118.3765,31.2352,2020-11-02 08:13:32.331135,P0046
D00,118.3765,31.2352,2020-11-02 08:13:41.153599,P0079
D00,118.3765,31.2352,2020-11-02 08:13:43.830751,P0089
D00,118.3765,31.2352,2020-11-02 08:14:03.900557,P0052
D00,118.3765,31.2352,2020-11-02 08:14:09.166989,P0023
D00,118.3765,31.2352,2020-11-02 08:14:13.033627,P0060
D00,118.3765,31.2352,2020-11-02 08:14:13.632639,P0059
D00,118.3765,31.2352,2020-11-02 08:14:26.034407,P0016
D00,118.3765,31.2352,2020-11-02 08:14:27.219299,P0032
D00,118.3765,31.2352,2020-11-02 08:14:29.176879,P0075
D00,118.3765,31.2352,2020-11-02 08:14:34.636942,P0041
D00,118.3765,31.2352,2020-11-02 08:14:36.483417,P0012
D00,118.3765,31.2352,2020-11-02 08:14:44.449658,P0073
D00,118.3765,31.2352,2020-11-02 08:14:54.011117,P0043
D00,118.3765,31.2352,2020-11-02 08:14:55.680872,P0022
D00,118.3765,31.2352,2020-11-02 08:14:57.449688,P0010
